Mode,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2024_2025_linear_pred,2024_2025_poly_pred
BHIM UPI,535.1895572999993,1251.7606973999996,2232.960834299998,4596.632248500003,8324.036609099998,13096.043865299982,18584.7795664,10417.535870399994,13644.581037579988,18854.91395012997
PPI,460.434,533.179,493.9039,658.1239,746.6744,799.628466,844.8732014999999,483.7767099,865.3917973333333,934.116419
Debit Card,441.7824862000001,512.3932,411.4854163,394.7678,341.9476,232.024332,210.321103,120.4304398,231.38228702000004,112.99569131999999
NACH,286.13804360000006,340.10429000000005,362.6195304,383.79804780000006,463.16330260000007,537.4036213999999,1744.3634247999998,343.9898397,560.2061503866666,615.0012203199999
NEFT,231.8864189,274.4467,309.2791,404.0728,528.4743,711.1442639999998,809.159156,463.3267496,735.2005030333333,911.6713054499999
Others,215.8179682,555.6431352999996,630.3947325999997,753.4223851000003,1103.2032562000006,1526.2276565999998,137.08954709999998,23.1927935,1629.2271680533338,1881.9127116700006
Credit Card,176.19638740000002,217.7284,176.4746186,223.9883,291.5622,353.66356200000007,384.3003605,220.0514393,355.57067344,445.2635855400001
IMPS,175.2906070999999,257.90562469999975,327.834466,465.9697663999999,521.0769916999999,585.3776995000001,569.2383894999999,266.9735720999999,686.7176789066666,661.5746767399999
AEPS,169.4107469999999,88.60687550000003,132.8086072000001,126.87724949999992,118.46248360000004,86.13072469999989,24.679400200000007,1.5865788000000005,87.10631675999994,92.42207885999973
Internet Banking,151.75209299999997,189.4176241,203.9331006000001,391.5155460999998,302.41174930000005,234.2372057000001,33.40009789999999,3.7217541,339.44359159333334,182.16401380999957
Closed Loop Wallet,137.7546721,149.84803769999996,22.865204299999995,36.05438159999999,71.4567353,74.77375780000001,0.0,0.0,28.436534660000007,129.37970680999987
Mobile Banking,112.82158290000002,126.38806840000004,99.4131734,143.26271589999996,139.98088110000006,157.11177160000005,37.8898867,4.519159700000002,160.43759129333336,179.2033022600001
NETC,25.3954142,58.2585987,132.7282619,244.1310103,340.87167350000004,385.3079638,423.37414480000007,227.8280199,473.6626258133332,498.1542139799998
RTGS,13.6602943,15.0679,15.919345399999996,20.783906,24.2562,26.374666,27.6053515,15.8068999,28.943850526666665,31.283466510000004
BHIM Aadhaar,0.6792085999999995,0.9070323000000003,1.608081899999999,2.2737480000000025,2.1428671999999995,1.4272385000000007,2.3009218000000016,1.0439538000000002,2.317694780000001,0.9768641799999953
USSD,0.1507193000000001,0.1011656,0.1044554,0.1199670999999999,0.1713556,0.2642629999999998,0.1717041999999998,0.0790524,0.23136768666666643,0.38215106999999987
